Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,3183.0,3193.75,3142.10009765625,3150.10009765625,2725.09814453125,320021
2020-01-02,3154.949951171875,3172.5,3112.050048828125,3121.0,2699.924072265625,452413
2020-01-03,3125.5,3128.25,3065.0,3072.050048828125,2657.578125,424311
2020-01-06,3070.0,3071.60009765625,3028.050048828125,3037.64990234375,2627.819091796875,355754
2020-01-07,3045.5,3072.0,3030.10009765625,3037.949951171875,2628.078857421875,225535
2020-01-08,3000.0,3073.39990234375,3000.0,3059.25,2646.50537109375,393614
2020-01-09,3076.0,3110.0,3066.050048828125,3085.699951171875,2669.38671875,333029
2020-01-10,3098.0,3117.0,3085.75,3101.199951171875,2682.79541015625,455081
2020-01-13,3106.0,3119.949951171875,3080.199951171875,3094.050048828125,2676.60986328125,154993
2020-01-14,3091.10009765625,3118.0,3074.0,3101.60009765625,2683.1416015625,278534
2020-01-15,3101.0,3138.0,3092.0,3123.550048828125,2702.130126953125,553613
2020-01-16,3129.800048828125,3150.0,3101.5,3112.10009765625,2692.224853515625,287553
2020-01-17,3112.0,3138.0,3098.0,3118.10009765625,2697.415283203125,272072
2020-01-20,3130.0,3144.64990234375,3083.14990234375,3103.699951171875,2684.9580078125,365554
2020-01-21,3096.0,3119.0,3085.5,3097.050048828125,2679.205078125,215722
2020-01-22,3105.0,3110.0,3070.10009765625,3076.39990234375,2661.34130859375,269339
2020-01-23,3072.0,3089.949951171875,3051.10009765625,3065.199951171875,2651.65234375,256329
2020-01-24,3068.0,3092.949951171875,3064.0,3074.14990234375,2659.394775390625,209961
2020-01-27,3069.800048828125,3122.949951171875,3044.050048828125,3082.60009765625,2666.704833984375,308445
2020-01-28,3089.800048828125,3109.60009765625,3048.0,3060.89990234375,2647.9326171875,239986
2020-01-29,3079.0,3099.0,3060.0,3091.85009765625,2674.70703125,243945
2020-01-30,3108.5,3185.0,3041.10009765625,3145.5,2721.11865234375,2400831
2020-01-31,3150.0,3239.949951171875,3150.0,3180.050048828125,2751.007080078125,1141144
2020-02-03,3143.0,3315.14990234375,3115.10009765625,3284.5,2841.364990234375,921166
2020-02-04,3270.0,3313.0,3151.0,3162.800048828125,2736.084716796875,1546450
2020-02-05,3185.0,3220.89990234375,3150.0,3161.5,2734.9599609375,646723
2020-02-06,3170.0,3211.0,3141.39990234375,3149.800048828125,2724.838623046875,514236
2020-02-07,3164.800048828125,3189.0,3106.60009765625,3134.85009765625,2711.905517578125,454698
2020-02-10,3138.0,3150.85009765625,3091.699951171875,3103.300048828125,2684.6123046875,386072
2020-02-11,3125.0,3150.0,3100.0,3145.449951171875,2721.0751953125,274244
2020-02-12,3164.699951171875,3184.64990234375,3136.85009765625,3146.300048828125,2721.810546875,345354
2020-02-13,3149.0,3172.199951171875,3120.39990234375,3136.39990234375,2713.24609375,268031
2020-02-14,3145.0,3205.0,3136.800048828125,3146.39990234375,2721.89697265625,381580
2020-02-17,3152.550048828125,3159.449951171875,3070.0,3075.60009765625,2660.649169921875,269986
2020-02-18,3064.699951171875,3090.550048828125,3033.5,3082.5,2666.618408203125,337054
2020-02-19,3092.0,3111.949951171875,3072.39990234375,3090.89990234375,2673.88525390625,220584
2020-02-20,3091.0,3100.050048828125,3057.64990234375,3065.5,2651.911865234375,256115
2020-02-24,3077.0,3084.64990234375,2970.050048828125,2980.5,2578.3798828125,499562
2020-02-25,2992.0,3007.0,2931.0,2947.39990234375,2549.745361328125,527499
